,GEOID,high_earners
0,6001,145696
1,6003,30
2,6005,1220
3,6007,6860
4,6009,2046
5,6011,673
6,6013,100758
7,6015,464
8,6017,13490
9,6019,27004
10,6021,465
11,6023,3101
12,6025,3073
13,6027,517
14,6029,23553
15,6031,2943
16,6033,1292
17,6035,794
18,6037,501413
19,6039,2934
20,6041,36709
21,6043,435
22,6045,2317
23,6047,5933
24,6049,87
25,6051,376
26,6053,17144
27,6055,10577
28,6057,5177
29,6059,233459
30,6061,28334
31,6063,642
32,6065,84359
33,6067,65768
34,6069,3088
35,6071,62380
36,6073,194676
37,6075,114989
38,6077,24530
39,6079,15110
40,6081,90392
41,6083,25231
42,6085,221273
43,6087,19628
44,6089,5559
45,6091,111
46,6093,900
47,6095,23192
48,6097,32713
49,6099,14864
50,6101,2720
51,6103,1394
52,6105,261
53,6107,9056
54,6109,2059
55,6111,57121
56,6113,11669
57,6115,1673
