,GEOID,population
0,6001,1666753
1,6003,1101
2,6005,39383
3,6007,231256
4,6009,45602
5,6011,21627
6,6013,1150215
7,6015,27828
8,6017,190678
9,6019,994400
10,6021,28047
11,6023,136373
12,6025,181827
13,6027,17987
14,6029,896764
15,6031,151366
16,6033,64382
17,6035,30802
18,6037,10105518
19,6039,157672
20,6041,259666
21,6043,17471
22,6045,87606
23,6047,274765
24,6049,8777
25,6051,14250
26,6053,435594
27,6055,139417
28,6057,99696
29,6059,3185968
30,6061,393149
31,6063,18804
32,6065,2450758
33,6067,1540975
34,6069,61537
35,6071,2171603
36,6073,3343364
37,6075,883305
38,6077,752660
39,6079,284010
40,6081,769545
41,6083,446527
42,6085,1937570
43,6087,274255
44,6089,180040
45,6091,2987
46,6093,43724
47,6095,446610
48,6097,499942
49,6099,549815
50,6101,96807
51,6103,63916
52,6105,12535
53,6107,465861
54,6109,54539
55,6111,850967
56,6113,220408
57,6115,78041
